Date,XOM US Equity,RDSA LN Equity,CVX US Equity,857 HK Equity,FP FP Equity,BP/ LN Equity,386 HK Equity,BLT LN Equity,BHP AU Equity,RIL IN Equity,PETR4 BZ Equity,STL NO Equity,COP US Equity,883 HK Equity,ENI IM Equity,EOG US Equity,ROSN RM Equity,SU CN Equity,OXY US Equity,EPD US Equity,LKOH RM Equity,GAZP RM Equity,PSX US Equity,PTT TB Equity,ENB CN Equity,VLO US Equity,ECOPETL CB Equity,267 HK Equity,CNQ CN Equity,LYB US Equity,6505 TT Equity,MPC US Equity,NVTK RM Equity,ONGC IN Equity,APC US Equity,PXD US Equity,MAERSKB DC Equity,TSCO LN Equity,FEMSAUBD MM Equity,REP SM Equity,GMKN RM Equity,IMO CN Equity,CLR US Equity,TATN RM Equity,IOCL IN Equity,SIBN RM Equity,SOL SJ Equity,CXO US Equity,WPL AU Equity,NESTE FH Equity,COPEC CI Equity,OMV AV Equity,034730 KS Equity,SSE LN Equity,DVN US Equity,ANDV US Equity,HES US Equity,096770 KS Equity,SNGS RM Equity,ETE US Equity,PTTEP TB Equity,VEDL IN Equity,NBL US Equity,GALP PL Equity,MRO US Equity,APA US Equity,MMP US Equity,TECK/B CN Equity,HSE CN Equity,EQT US Equity,BPCL IN Equity,FANG US Equity,CVE CN Equity,ECA CN Equity,AKERBP NO Equity,010950 KS Equity,IEP US Equity,PKN PW Equity,GAIL IN Equity,STLD US Equity,HFC US Equity,COG US Equity,ANDX US Equity,ALFA SS Equity,TRGP US Equity,2688 HK Equity,PGN PW Equity,UGPA3 BZ Equity,XEC US Equity,LUPE SS Equity,PE US Equity,OSH AU Equity,KCHOL TI Equity,DCC LN Equity,ADNOCDIS UH Equity,JEC US Equity,1193 HK Equity,MRW LN Equity,RSPP US Equity,BRDT3 BZ Equity,RUI FP Equity,HPCL IN Equity,135 HK Equity,IPL CN Equity,PETD MK Equity,WPX US Equity,TUPRS TI Equity,PETROR AB Equity,SMC PM Equity,ALFAA MM Equity,EGN US Equity,OGDC PA Equity,CTX AU Equity,TOP TB Equity,AR US Equity,BANE RM Equity,NFX US Equity,VVC US Equity,AZRG IT Equity,INARA CZ Equity,MUR US Equity,VII CN Equity,TOU CN Equity,1402 TT Equity,SNP RO Equity,CDEV US Equity,CPG CN Equity,CSAN3 BZ Equity,PTEN US Equity,BBU-U CN Equity,IRPC TB Equity,NFG US Equity,TLW LN Equity,EA TB Equity,VET CN Equity,PBF US Equity,ARX CN Equity,OINL IN Equity,DK US Equity,QFLS QD Equity,SNG RO Equity,WLL US Equity,PPL PA Equity,CASY US Equity,MTDR US Equity,PDCE US Equity,SR US Equity,RRC US Equity,PGAS IJ Equity,OAS US Equity,CNX US Equity,DEDRL IT Equity,MIC US Equity,VNOM US Equity,UNIPE CP Equity,BANPU TB Equity,ELPE GA Equity,PKI CN Equity,TEP US Equity,WCP CN Equity,CVI US Equity,LTS PW Equity,JAG US Equity,QEP US Equity,MRPL IN Equity,ERF CN Equity,003410 KS Equity,CPE US Equity,VED LN Equity,KOS US Equity,CHK US Equity,SRCI US Equity,PXT CN Equity,SJI US Equity,SM US Equity,WRD US Equity,MOH GA Equity,LPI US Equity,CVRR US Equity,XOG US Equity,SWN US Equity,CZZ US Equity,RNFT RM Equity,3633 HK Equity,ALBH BI Equity,JSMR IJ Equity,SRS IM Equity,ECL CI Equity,TITK GA Equity,SUN US Equity,467 HK Equity,TELL US Equity,SPRC TB Equity,MUSA US Equity,DLEN IT Equity,ZEL NZ Equity,DNO NO Equity,ESSO TB Equity,933 HK Equity,1434 TT Equity
1993-11-30,8.0713,,9.3945,,4.59512,0.94976,,,1.98198,0.43622,,,6.5949,,,4.2119,,0.92893,3.7796,,,,,,1.17504,,,0.98237,1.19576,,,,,,8.3689,,226.81798,0.5208,0.7681,3.36002,,2.26148,,,,,2.12795,,1.11192,,,2.38058,,1.75584,7.7561,2.291,11.5205,,,,0.18718,0.02175,5.137,,2.6412,7.5066,,5.25456,,5.3773,0.47443,,,2.29655,,2.0861,4.9604,,,,0.845,1.432,,,,,,,,,,0.38537,,,,6.137,,0.39961,,,2.17186,0.6766,0.04874,,,,,,0.52909,0.09552,3.5409,,0.6698,,,,4.0938,,,,4.1637,,,0.15876,,,,,0.7028,,,6.9459,0.27328,,,,,,,,,,,4.561,,1.9375,7.5838,5.3012,,,,,,,,0.09119,,0.21019,,,,,,,,1.21134,90.95307,,,,0.5959,,,2.0686,3.1696,,,,,,1.7954,,,,,,,,2.57025,,0.6493,8,,,,,0.04057,,,0.20741
1993-12-31,8.1196,,9.4216,,4.93918,1.02092,,,2.15642,0.43028,,,6.7106,,,4.2528,,0.9876,3.6706,,,,,,1.20264,,,1.2404,1.33462,,,,,,9.6012,,245.05845,0.55702,0.83734,3.71303,,2.26605,,,,,2.11702,,1.17169,,,2.62752,,1.94901,8.7058,2.291,11.1871,,,,0.19183,0.02308,5.5002,,2.5825,8.046,,5.85197,,5.4329,0.49484,,,2.22354,,2.10889,4.2129,,,,0.764,1.5415,,,,,,,,,,0.47415,,,,5.8903,,0.47945,,,2.3829,0.78208,0.04704,,,,,,0.70212,0.12126,3.31,,0.72956,,,,4.4063,,,,4.1508,,,0.21461,,,,,0.7158,,,7.1558,0.25044,,,,,,,,,,,4.994,,1.6875,7.6004,4.456,,,,,,,,0.13794,,0.21121,,,,,,,,1.32372,88.66511,,,,0.4194,,,2.1112,2.7247,,,,,,1.9586,,,,,,,,2.66088,,0.67148,6.25,,,,,0.04524,,,0.26566
1994-01-31,8.5537,,10.0974,,5.01585,1.09323,,,2.48836,0.60317,0.8457,,6.8263,,,4.8183,,0.99637,3.8865,,,,,,1.25915,,,1.2111,1.4504,,,,,,10.0508,,246.86587,0.5894,0.81508,4.17773,,2.34706,,,,,2.14053,,1.24789,,1.27257,3.09959,,2.0746,8.653,4.4259,12.0238,,,,0.17469,0.02853,5.6818,,2.9224,8.6054,,6.49161,,5.6369,0.64726,,,2.33989,,2.40561,4.282,,,,0.8147,1.6144,,,,,,,,,,0.54224,,,,6.3529,,0.48899,,,2.38846,1.00168,0.04019,,,,,,0.64539,0.14255,3.5602,,0.88226,,,,5.25,,,,4.2934,,,0.24216,,,,,0.7548,,,7.3399,0.23368,,,,,,,,,,,5.104,,1.6875,7.9205,4.5329,,,,,,,,0.14209,,0.20106,,,,,,,,1.33982,110.77002,,,,0.5959,,,2.1001,3.1227,,,,,,1.9654,,,,,,,,2.78405,,0.6137,6.25,,,,,0.04706,,,0.30709
1994-02-28,8.4353,,9.4602,,5.10082,1.05227,,,2.35418,0.5942,0.80924,,6.2767,,,4.6955,,0.92643,3.9135,,,,,,1.22642,,,1.09873,1.3467,,,,,,9.4161,,257.65853,0.60332,0.79886,3.9549,,2.35927,,,,,2.43738,,1.24836,,1.39946,2.96364,,1.81211,8.2309,4.1655,11.497,,,,0.2325,0.02719,5.3524,,2.7249,8.6054,,6.116,,5.399,0.6245,,,2.16871,,2.26949,4.4201,,,,0.8473,1.5808,,,,,,,,,,0.49387,,,,6.0136,,0.49507,,,2.39324,0.99979,0.02991,,,,,,0.69365,0.12807,3.3483,,0.93204,,,,5.4688,,,,4.1574,,,0.20986,,,,,0.7028,,,6.4718,0.23036,,,,,,,,,,,4.747,,1.6875,7.5804,4.917,,,,,,,,0.14693,,0.21784,,,,,,,,1.37177,106.53765,,,,0.4635,,,1.9667,3.0669,,,,,,1.8972,,,,,,,,2.77384,,0.57678,6.5,,,,,0.04629,,,0.25557
1994-03-31,8.1753,,9.1736,,4.79144,0.99829,,,2.1282,0.48563,0.90056,,6.161,,,4.6682,,0.94295,3.5314,,,,,,1.13318,,,1.05368,1.34951,,,,,,9.7499,,259.48613,0.55947,0.67081,3.79007,,2.1979,,,,,2.43948,,1.15649,,1.34271,2.90077,,1.69963,7.4922,4.2697,11.1298,,,,0.21548,0.02259,4.9367,,2.6064,7.982,,6.17844,,5.1935,0.59178,,,2.26104,,2.22122,4.1438,,,,0.8137,1.4254,,,,,,,,,,0.40658,,,,5.9211,,0.53362,,,2.24968,0.82182,0.02945,,0.3779,,,,0.73087,0.12799,3.1925,,0.89178,,,,5.3125,,,,4.1835,,,0.18897,,,,,0.6767,,,6.3943,0.21999,,,,,,,,,,,4.951,,2,8.0968,4.4176,,,,,,,,0.13223,,0.21961,,,,,,,,1.44013,97.10178,,,,0.5518,,,1.9539,2.8717,,,,,,1.7607,,,,,,,,2.43566,,0.51964,6.5,,,,,0.0458,,,0.2383
1994-04-29,8.1753,,9.7196,,5.26363,1.1298,,,2.22963,,0.61683,,7.2312,,,5.1941,,0.96705,3.8873,,,,,,1.12063,,,1.0455,1.46631,,,,,,11.8695,,263.87193,0.58076,0.59135,4.02952,,2.29711,,,,,2.85565,,1.29986,,1.5751,2.98795,,1.55345,9.1279,4.7904,12.4977,,,,0.25338,,6.0539,,2.6657,9.3626,,5.73175,,5.4177,,,,2.48808,,,4.2129,,,,0.8355,1.6082,,,,,,,,,,0.45474,,,,5.2118,,0.53614,,,2.32367,,0.02736,,0.38561,,,,0.86467,0.12855,3.0952,,0.92136,,,,4.75,,,,4.6019,,,,,,,,0.6247,,,6.3943,0.27452,,0.08764,,,,,,,,,4.959,,2.125,7.5705,4.7634,,,,,,,,0.13394,,0.2063,,,,,,,,1.559,,,,,0.5076,,,1.8635,3.0669,,,,,,1.7948,,,,,,,,2.31813,,0.4907,5.75,,,,,0.04486,,,
1994-05-31,8.04,,9.6031,,5.00309,1.12994,,,2.51007,0.50482,0.63387,,7.5205,,,4.8114,,0.92769,4.2431,,,,,,1.11551,,,1.10278,1.57181,,,,,,11.3926,,242.9383,0.57937,0.62319,3.80854,,2.2605,,,,,2.65988,,1.3608,,1.85972,2.90496,,1.51904,8.9696,4.4259,12.3112,,,,0.28351,0.02096,5.8802,,2.7327,9.3626,,6.20993,,5.1793,0.62538,,,2.45818,,2.26118,4.2129,,,,0.8827,1.4463,,,,,,,,,,0.50616,,1.89894,,4.5025,,0.55583,,,2.35302,0.87201,0.02565,,0.3645,,,,1.04351,0.13574,3.2943,,0.94918,,,,5.1875,,,,4.4254,,,0.19921,,,,,0.6247,,,6.4742,0.36611,,0.08243,,,,,,,,,4.396,,1.9375,7.0442,4.7634,,,,,,,,0.14828,,0.20615,,,,,,,,1.61039,104.98748,,,,0.6842,,,1.7619,2.8242,,,,,,1.7537,,,,,,,,2.30682,,0.40415,5.75,,,,,0.04384,,,0.27078
1994-06-30,7.4645,,9.2444,,5.40763,1.1666,,,2.43474,0.53976,0.61217,,7.2312,,,5.0301,,0.91262,4.1877,,,,,,1.05544,,,1.02844,1.40288,,,,,,10.8517,,254.99641,0.62841,0.52867,3.48897,,2.14749,,,,,2.62399,,1.41233,,1.96873,2.89055,,1.59827,9.4972,4.53,12.2866,,,,0.29604,0.01888,6.2965,,2.6729,9.559,,5.50825,,5.1793,0.73379,,,2.3502,,2.61293,4.351,,,,0.8309,1.5287,,,,,,,,,,0.49292,,1.62961,,5.0576,,0.55888,,,2.47295,1.01816,0.02102,,0.36104,,,,0.98665,0.1392,3.2943,,1.01628,,,,5.6563,,,,4.5044,,,0.20098,,,,,0.7288,,,6.3409,0.51928,,0.1159,,,,,,,,,4.652,,1.875,7.0606,4.8402,,,,,,,,0.14949,,0.18272,,,,,,,,1.62766,101.17466,,,,0.6842,,,1.656,2.7403,,,,,,1.8907,,,,,,,0.55472,2.55694,,0.38953,5.5,,,,,0.04522,,,0.2516
1994-07-29,7.8262,,9.7963,,5.4064,1.23524,,,2.60896,,0.846,,7.5783,,,4.3526,,0.96506,4.4095,,,,,,1.08067,,,1.1817,1.39089,,,,,,10.1619,,268.72322,0.64788,0.62262,3.91157,,2.18237,,,,,2.9989,,1.50829,,2.09457,2.98992,,1.69927,8.5475,4.3217,12.9727,,,,0.37551,,5.6721,,2.7726,8.867,,5.40534,,5.0852,,,,2.36607,,,4.5582,,,,0.8309,1.4188,,,,,,,,,,0.50592,,1.76367,,5.0885,,0.63373,,,2.51128,,0.02394,,0.35603,,,,0.98637,0.14476,3.4127,,1.14272,,,,6.0313,,,,4.6888,,,,,,,,0.7288,,,6.4758,0.47452,,0.11598,,,,,,,,,5.018,,1.625,7.1838,5.3012,,,,,,,,0.15162,,0.21476,,,,,,,,1.70749,,,,,0.8939,,,1.679,2.7683,,,,,,1.8561,,,,,,,0.59877,2.46431,,0.37513,5.25,,,,,0.04533,,,
1994-08-31,7.9215,,9.4556,,5.58935,1.23928,,,2.83361,0.62251,1.13604,,7.6362,,,4.2157,,0.9789,4.9364,,,,,,1.09103,,,1.21328,1.33894,,,,,,9.9496,,254.36489,0.69512,0.70078,3.92452,,2.3053,,,,,3.53823,,1.52147,,2.54379,3.39309,,1.95764,8.8641,4.2697,12.5361,,,,0.43682,0.02188,5.3678,,2.7799,8.7372,,5.81978,,4.9004,0.69188,,,2.40714,,2.86619,4.5582,,,,0.7653,1.44,,,,,,,,,,0.55293,,1.77727,,5.9828,,0.64993,,,2.76208,0.97272,0.02855,,0.3949,,,,1.07152,0.1744,3.5779,,1.06826,,,,6.25,,,,5.0281,,,0.25363,,,,,0.7288,,,6.7187,0.43816,,0.15639,,,,,,,,,4.609,,1.75,7.389,5.1475,,,,,,,,0.18811,,0.21784,,,,,,,,1.69551,96.64595,,,,1.4126,,,1.7595,2.651,,,,,,1.8974,,,,,,,0.60405,2.40663,,0.39685,5.75,,,,,0.04455,,,0.3179
1994-09-30,7.6552,,9.2882,,5.51577,1.22979,,,2.70499,0.55436,1.27446,,7.9254,,,4.4621,,1.07747,4.7133,,,,,,1.11485,,,1.18294,1.34397,,,,,,9.5134,,236.89312,0.68129,0.6819,3.74684,,2.36614,,,,,3.9394,,1.55641,,2.53136,3.30543,,1.61342,8.8113,4.0614,11.6369,,,,0.45797,0.02104,5.5763,,2.8604,8.7611,,6.32626,,4.5585,0.67026,,,2.51189,,3.12584,4.351,,,,0.7216,1.3483,,,,,,,,,,0.53979,,1.72471,,6.0136,,0.61731,,,2.91936,0.93057,0.02881,,0.37981,,,,1.0224,0.21653,3.5979,,0.98494,,,,6.1563,,,,4.6169,,,0.24681,,,,,0.7548,,,6.5338,0.43348,,0.18564,,,,,,,,,4.942,,1.5625,7.0328,4.9938,,,,,,,,0.19425,,0.20821,,,,,,,,1.70649,117.69351,12.75,,,1.8761,,,1.6289,2.7492,,,,,,1.7874,,,,,,,0.75932,2.48019,,0.38968,5.5,,,,,0.04,,,0.2896
1994-10-31,8.3708,,10.0413,,6.06359,1.38406,,,2.85225,0.58563,0.98912,,8.5329,,,4.8526,,1.07433,4.9097,,,,,,1.11223,,,1.15072,1.33503,,,,,,10.3903,,221.51794,0.70119,0.55949,3.92085,,2.65876,,,,,4.0171,,1.57608,,3.10766,3.34205,,1.60291,9.2334,3.9052,12.4503,,,,0.57805,0.02209,6.2537,,3.0701,9.7587,,6.40799,,4.6345,0.63562,,,2.48792,,3.46225,4.282,,,,0.7209,1.3575,,,,,,,,,,0.53552,,1.68509,,5.2735,,0.64403,,,2.91377,0.87538,0.02863,,0.35766,,,,1.11513,0.20923,3.6379,,0.98734,,,,6.0313,,,,5.0547,,,0.23597,,,,,0.8199,,,6.5065,0.43036,,0.1844,,,,,,,,,5.41,,1.6875,6.9496,4.7634,,,,,,,,0.23268,,0.20015,,,,,,,,1.79925,127.03594,11,,,2.0526,,,1.6289,3.0249,,,,,,1.9043,,,,,,,0.81316,2.61308,,0.36802,7.5,,,,,0.03983,,,0.27572
