Date,SPXGS_PTRM,SPXGS_GTRM,LIBOR_3M,S&P500
2007.2.28,209.021,383.0345,5.36,1406.82
2007.3.30,223.0501,391.5348,5.34813,1420.86
2007.4.30,239.3117,389.497,5.35,1482.37
2007.5.31,239.9355,397.9391,5.355,1530.62
2007.6.29,236.023,388.158,5.36,1503.35
2007.7.31,256.224,378.959,5.36,1455.28
2007.8.31,276.999,395.494,5.35866,1473.99
2007.9.28,262.996,397.008,5.62125,1526.75
2007.10.31,288.532,436.656,5.22875,1549.38
2007.11.30,331.231,463.03,4.89375,1481.14
2007.12.31,316.959,459.42,5.13125,1468.35
2008.1.31,340.425,487.89,4.7025,1378.55
2008.2.29,326.921,540.289,3.11188,1330.63
2008.3.31,362.399,567.653,3.0575,1322.7
2008.4.30,364.45,536.504,2.68813,1385.59
2008.5.30,404.852,503.668,2.85,1400.38
2008.6.30,459.18,519.038,2.68063,1280
2008.7.31,500.891,540.464,2.78313,1267.38
2008.8.29,444.113,537.203,2.79125,1282.83
2008.9.30,411.733,486.26,2.81063,1166.36
2008.10.31,359.136,512.809,4.0525,968.75
2008.11.28,242.435,418.142,3.02625,896.24
2008.12.31,197.174,476.828,2.21688,903.25
2009.1.30,164.571,514.846,1.425,825.88
2009.2.27,160.565,540.522,1.18438,735.09
2009.3.31,164.243,548.731,1.26438,797.87
2009.4.30,179.329,538.542,1.19188,872.81
2009.5.29,183.692,518.863,1.01625,919.14
2009.6.30,236.015,570.738,0.65625,919.32
2009.7.31,248.238,539.939,0.595,987.48
2009.8.31,250.765,556.474,0.47938,1020.63
2009.9.30,248.072,555.135,0.3475,1057.08
2009.10.30,248.359,587.622,0.28688,1036.19
2009.11.30,271.967,605.729,0.28063,1095.63
2009.12.31,275.628,688.344,0.25656,1115.1
2010.1.29,280.993,638.216,0.25063,1073.87
2010.2.26,258.09,630.996,0.24906,1104.49
2010.3.31,281.202,651.432,0.25169,1169.43
2010.4.30,297.7,648.87,0.2915,1186.69
2010.5.31,310.624,687.412,0.34656,1089.41
2010.6.30,265.959,707.382,0.53625,1030.71
2010.7.30,270.313,725.372,0.53394,1101.6
2010.8.31,280.929,689.275,0.45375,1049.33
2010.9.30,260.596,727.934,0.29563,1141.2
2010.10.29,288.892,762.459,0.29,1183.26
2010.11.30,292.33,790.405,0.28594,1180.55
2010.12.31,302.8,807,0.30031,1257.64
2011.1.31,329.48,827.55,0.30281,1286.12
2011.2.28,341.56,776.96,0.30438,1327.22
2011.3.31,368.78,820.85,0.3095,1325.83
2011.4.29,397.64,838.32,0.303,1363.61
2011.5.31,424.43,906.15,0.273,1345.2
2011.6.30,387.26,894.74,0.25288,1320.64
2011.7.29,367.05,874.94,0.24575,1292.28
2011.8.31,375.05,949.7,0.2555,1218.89
2011.9.30,358.08,1066.4301,0.32722,1131.42
2011.10.31,319.25,944.52,0.37433,1253.3
2011.11.30,357.92,1004.42,0.42944,1246.96
2011.12.30,372.3,1019.04,0.52889,1257.6
2012.1.31,365.15,912.2,0.581,1312.41
2012.2.29,372.66,1013.27,0.54235,1365.68
2012.3.30,404.98,996.33,0.48425,1408.47
2012.4.30,398.96,973.39,0.46815,1397.91
2012.5.31,397.46,968.91,0.46585,1310.33
2012.6.29,334.65,910.69,0.46685,1362.16
2012.7.31,326.8,933.98,0.4606,1379.32
2012.8.31,343.19,940.03,0.4426,1406.58
2012.9.28,376.21,982.53,0.41825,1440.67
2012.10.31,364.85,1032.78,0.3585,1412.16
2012.11.30,345.96,1000.87,0.31275,1416.18
2012.12.31,354.17,997.15,0.3105,1426.19
2013.1.31,357.78,975.66,0.306,1498.11
2013.2.28,377.82,967.63,0.298,1514.68
2013.4.30,362.72,918.78,0.2871,1597.57
2013.5.31,369.19,929.03,0.2826,1630.74
2013.6.28,346.36,857.07,0.2731,1606.28
2013.7.31,340.89,811.02,0.27525,1685.73
2013.8.30,350.93,712.45,0.2731,1632.97
2013.9.30,375.47,764.44,0.2656,1681.55
2013.10.31,387.53,812.82,0.2595,1756.54
2013.11.29,367.2,772.59,0.24885,1805.81
2013.12.31,360.14,770.67,0.242,1848.36
2014.1.31,358.41,727.99,0.2391,1782.59
2014.2.28,369.47,699.99,0.2461,1859.45
2014.3.31,358.7,721.82,0.2366,1872.34
2014.4.30,373.1763,769.4457,0.23565,1883.95
2014.5.30,367.9675,747.4382,0.2306,1923.57
2014.6.30,366.1469,754.4829,0.22335,1960.23
2014.7.31,370.7633,725.4308,0.2274,1930.67
2014.8.29,381.1889,769.6786,0.2307,2003.37
2014.9.30,360.0571,746.856,0.2391,1972.29
2014.10.31,350.6255,749.5342,0.2336,2018.05
2014.11.28,327.1938,705.4028,0.2351,2067.56
2014.12.31,294.6053,682.1145,0.2321,2058.9
2015.1.30,245.5597,684.3851,0.2336,1994.99
2015.2.27,200.0686,689.3921,0.2556,2104.5
2015.3.31,185.0629,744.7599,0.2531,2067.89
2015.4.30,211.2658,706.276,0.26185,2085.51
2015.5.29,192.3171,688.8679,0.27075,2107.39
2015.6.30,231.2095,688.4022,0.27875,2063.11
2015.7.31,230.1033,692.7105,0.28375,2103.84
2015.8.31,225.0084,682.2308,0.2832,1972.18
2015.9.30,184.9452,637.5755,0.3086,1920.03
2015.10.30,188.4463,659.35,0.329,2079.36
2015.11.30,171.4838,649.2778,0.325,2080.41
2015.12.31,174.5435,664.5317,0.3341,2043.94
2016.1.29,157.8745,620.2257,0.4162,1940.24
2016.2.29,135.6545,617.2564,0.6127,1932.23
2016.3.31,126.1229,649.9767,0.6126,2059.74
2016.4.29,129.83,718.6772,0.6331,2065.3
2016.5.31,144.308,719.3759,0.6286,2096.96
2016.6.30,169.4583,751.3391,0.6366,2098.86
2016.7.29,179.7757,708.8379,0.6858,2173.6
2016.8.31,176.8728,768.8635,0.6541,2170.95
2016.9.30,153.4085,790.347,0.7591,2168.27
2016.10.31,164.8219,763.5072,0.83933,2126.15
2016.11.30,177.4478,766.8258,0.85367,2198.81
2016.12.30,172.5156,741.2087,0.88428,2238.83
2017.1.31,181.8914,683.4536,0.93417,2278.87
2017.2.28,199.5208,670.5286,0.99789,2363.64
2017.3.31,194.2809,705.2865,1.03456,2362.72
2017.4.28,198.8976,730.0303,1.064,2384.2
2017.5.31,188.5271,728.4583,1.14956,2411.8
2017.6.30,182.1372,738.4141,1.17233,2423.41
2017.7.31,179.322,742.5478,1.21,2470.3
2017.8.31,171.9749,723.2767,1.29917,2471.65
2017.9.29,188.1183,741.3833,1.31056,2519.36
2017.10.31,185.8283,769.7951,1.31778,2575.26
2017.11.30,197.4302,748.0205,1.33389,2647.58
2017.12.29,208.6015,739.6949,1.38122,2673.61
2018.1.31,215.8101,743.3046,1.48738,2823.81
2018.2.28,229.1141,762.2846,1.69428,2713.83
