S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
08/31/2015,1232.559,,08/31/2015,611.43,,08/31/2015,0.329,,08/31/2015,1972.18,,CLR US Equity,25.73T,3.53T,100,,YRI CN Equity,3.01T,2.04T,100
07/31/2015,1210.48,,07/31/2015,591.19,,07/31/2015,0.3086,,07/31/2015,2103.84,,CXO US Equity,24.98T,3.01T,100,,BTO CN Equity,2.98T,721.79B,100
06/30/2015,1476.754,,06/30/2015,633.83,,06/30/2015,0.2832,,06/30/2015,2063.11,,SIBN RM Equity,24.93T,4.16T,11.56,,VOLCABC1 PE Equity,2.91T,825.67M,0.09
05/29/2015,1517.504,,05/29/2015,643.56,,05/29/2015,0.28375,,05/29/2015,2107.39,,5020 JP Equity,24.36T,1.74T,2.02,,1818 HK Equity,2.79T,1.06T,91.09
04/30/2015,1537.908,,04/30/2015,640.11,,04/30/2015,0.27875,,04/30/2015,2085.51,,WPL AU Equity,24.19T,2.71T,63,,IMG CN Equity,2.77T,1.24T,100
03/31/2015,1300.56,,03/31/2015,640.53,,03/31/2015,0.27075,,03/31/2015,2067.89,,OMV AV Equity,21.98T,1.69T,6.57,,CEY LN Equity,2.65T,763.42B,100
02/27/2015,1450.378,,02/27/2015,657.29,,02/27/2015,0.26185,,02/27/2015,2104.5,,1605 JP Equity,20.69T,9.04T,97.55,,IGO AU Equity,2.58T,182.13B,50.46
01/30/2015,1300.585,,01/30/2015,693.1,,01/30/2015,0.2531,,01/30/2015,1994.99,,SSE LN Equity,20.28T,53.10B,0.12,,000587 CH Equity,2.53T,1.36T,74.19
12/31/2014,1425.361,,12/31/2014,642.02,,12/31/2014,0.2556,,12/31/2014,2058.9,,DVN US Equity,19.96T,6.00T,38.05,,601069 CH Equity,2.42T,212.87B,91.34
11/28/2014,1760.88,,11/28/2014,637.33,,11/28/2014,0.2336,,11/28/2014,2067.56,,HES US Equity,19.52T,6.18T,100,,AGI CN Equity,2.29T,613.44B,100
10/31/2014,2113.69,,10/31/2014,635.68,,10/31/2014,0.2321,,10/31/2014,2018.05,,VEDL IN Equity,18.77T,1.40T,10.86,,SGL SJ Equity,2.28T,,
09/30/2014,2342.545,,09/30/2014,657.37,,09/30/2014,0.2351,,09/30/2014,1972.29,,SNGS RM Equity,18.32T,11.75T,61.81,,OZL AU Equity,2.27T,184.20B,20.79
08/29/2014,2506.397,,08/29/2014,698.49,,08/29/2014,0.2336,,08/29/2014,2003.37,,PTTEP TB Equity,18.05T,4.86T,92.85,,DGC CN Equity,2.21T,799.91B,100
07/31/2014,2561.914,,07/31/2014,695.97,,07/31/2014,0.2391,,07/31/2014,1930.67,,NBL US Equity,17.82T,4.59T,100,,HBM CN Equity,2.06T,147.86B,8.91
06/30/2014,2708.325,,06/30/2014,717.98,,06/30/2014,0.2307,,06/30/2014,1960.23,,GALP PL Equity,17.43T,1.33T,6.88,,002102 CH Equity,2.01T,191.93M,0.2
05/30/2014,2619.653,,05/30/2014,676.69,,05/30/2014,0.2274,,05/30/2014,1923.57,,APA US Equity,16.98T,6.55T,100,,002155 CH Equity,1.98T,943.96B,79.75
04/30/2014,2572.944,,04/30/2014,703.95,,04/30/2014,0.22335,,04/30/2014,1883.95,,MRO US Equity,16.48T,4.94T,100,,KOZAL TI Equity,1.96T,345.34B,100
03/31/2014,2573.166,,03/31/2014,697.35,,03/31/2014,0.2306,,03/31/2014,1872.34,,TECK/B CN Equity,16.43T,0,0,,EDV CN Equity,1.96T,736.94B,100
02/28/2014,2600.038,,02/28/2014,717.99,,02/28/2014,0.23565,,02/28/2014,1859.45,,HSE CN Equity,16.12T,5.70T,32.54,,RRL AU Equity,1.95T,466.02B,100
01/31/2014,2501.28,,01/31/2014,673.52,,01/31/2014,0.2366,,01/31/2014,1782.59,,4188 JP Equity,15.86T,6.09T,17.02,,CG CN Equity,1.92T,1.36T,100
