S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
05/31/2006,3483.07,,05/31/2006,375.8,,05/31/2006,5.23813,,05/31/2006,1270.09,,TUSK US Equity,1.54T,313.42B,40.11,,WAF AU Equity,172.07B,0,
04/28/2006,3547.483,,04/28/2006,381.04,,04/28/2006,5.13,,04/28/2006,1310.61,,PEY CN Equity,1.54T,582.20B,100,,ML CN Equity,169.13B,0,
03/31/2006,3286.873,,03/31/2006,340.35,,03/31/2006,5,,03/31/2006,1294.83,,601015 CH Equity,1.53T,69.95B,4.47,,NUAG CN Equity,166.62B,0,
02/28/2006,3062.447,,02/28/2006,328.95,,02/28/2006,4.8225,,02/28/2006,1280.66,,POL PA Equity,1.53T,216.64B,75.44,,CDV AU Equity,165.52B,0,
01/31/2006,3424.57,,01/31/2006,334.56,,01/31/2006,4.68,,01/31/2006,1280.08,,600759 CH Equity,1.52T,177.15B,87.06,,VIT CN Equity,163.18B,0,
12/30/2005,3153.631,,12/30/2005,303.16,,12/30/2005,4.53625,,12/30/2005,1248.29,,NHC AU Equity,1.42T,16.09B,2.21,,DR0 GR Equity,163.18B,11.76B,100
11/30/2005,2997.232,,11/30/2005,290.41,,11/30/2005,4.42,,11/30/2005,1249.48,,HPR US Equity,1.38T,307.33B,100,,MAX CN Equity,162.05B,,
10/31/2005,3216.017,,10/31/2005,273.24,,10/31/2005,4.26,,10/31/2005,1207.01,,DNR US Equity,1.34T,1.18T,97.55,,3939 HK Equity,161.36B,2.32B,6.41
09/30/2005,3671.189,,09/30/2005,275.52,,09/30/2005,4.065,,09/30/2005,1228.81,,002266 CH Equity,1.33T,2.33B,1.21,,RIOZ ZH Equity,158.28B,73.06B,96.6
08/31/2005,3819.462,,08/31/2005,254.83,,08/31/2005,3.87,,08/31/2005,1220.33,,FRU CN Equity,1.33T,131.18B,100,,MYA CN Equity,154.30B,0,
07/29/2005,3271.759,,07/29/2005,252.7,,07/29/2005,3.7,,07/29/2005,1234.18,,NIIS SG Equity,1.33T,2.48T,84.34,,AOT CN Equity,149.31B,0,
06/30/2005,3097.373,,06/30/2005,256.32,,06/30/2005,3.51625,,06/30/2005,1191.33,,UNT US Equity,1.32T,404.30B,48.37,,LUM CN Equity,148.68B,0,
05/31/2005,2857.253,,05/31/2005,245.04,,05/31/2005,3.3375,,05/31/2005,1191.5,,GTE US Equity,1.31T,476.62B,100,,RND AU Equity,138.50B,29.90B,100
04/29/2005,2859.713,,04/29/2005,256.03,,04/29/2005,3.21,,04/29/2005,1156.85,,RRX CN Equity,1.28T,354.00B,100,,ITH CN Equity,138.02B,0,
03/31/2005,3205.361,,03/31/2005,252.53,,03/31/2005,3.12,,03/31/2005,1180.59,,SEPL LN Equity,1.26T,815.72B,100,,CGP CN Equity,137.94B,,
02/28/2005,2914.119,,02/28/2005,257.23,,02/28/2005,2.92,,02/28/2005,1203.6,,TOG CN Equity,1.23T,283.91B,100,,LNZL RM Equity,134.01B,216.85B,100
01/31/2005,2741.662,,01/31/2005,248.81,,01/31/2005,2.75,,01/31/2005,1181.27,,PGR LN Equity,1.21T,,,,BSX CN Equity,131.24B,,
12/31/2004,2455.278,,12/31/2004,258.02,,12/31/2004,2.56438,,12/31/2004,1211.92,,KEL CN Equity,1.19T,221.43B,110.71,,NUS CN Equity,129.91B,,
11/30/2004,2813.292,,11/30/2004,266.22,,11/30/2004,2.41,,11/30/2004,1173.82,,NVA CN Equity,1.18T,246.73B,100,,CTGO US Equity,128.10B,0,
10/29/2004,2951.925,,10/29/2004,252.93,,10/29/2004,2.17,,10/29/2004,1130.2,,MAU FP Equity,1.17T,433.71B,95.95,,PGM CN Equity,127.78B,0,
09/30/2004,2803.448,,09/30/2004,247.28,,09/30/2004,2.02,,09/30/2004,1114.58,,HUR LN Equity,1.15T,0,,,CGH LN Equity,123.78B,0,
08/31/2004,2367.128,,08/31/2004,242.24,,08/31/2004,1.8,,08/31/2004,1104.24,,CRC US Equity,1.15T,2.27T,100,,513 HK Equity,121.35B,1.32B,1.43
07/30/2004,2450.642,,07/30/2004,230.96,,07/30/2004,1.7,,07/30/2004,1101.72,,300008 CH Equity,1.09T,104.48B,37.39,,MTL LN Equity,120.77B,,
06/30/2004,2111.348,,06/30/2004,231.86,,06/30/2004,1.61,,06/30/2004,1140.84,,ENOG LN Equity,1.08T,,,,TLG AU Equity,118.67B,,
05/31/2004,2224.477,,05/31/2004,232.72,,05/31/2004,1.315,,05/31/2004,1120.68,,JOEL IT Equity,1.08T,583.79B,69.68,,TNG AU Equity,116.25B,0,
04/30/2004,2076.854,,04/30/2004,228.78,,04/30/2004,1.18,,04/30/2004,1107.31,,REI US Equity,1.07T,75.24B,100,,ALK AU Equity,114.46B,100.85B,100
03/31/2004,1926.694,,03/31/2004,252.67,,03/31/2004,1.11,,03/31/2004,1126.21,,PMO LN Equity,1.04T,1.18T,100,,CLA AU Equity,113.15B,0,
02/27/2004,1923.129,,02/27/2004,234.47,,02/27/2004,1.12,,02/27/2004,1144.94,,SPE CN Equity,991.28B,312.68B,100,,DRD SJ Equity,112.83B,196.07B,100
01/30/2004,1743.625,,01/30/2004,237.9,,01/30/2004,1.13,,01/30/2004,1131.13,,GPRK US Equity,971.24B,373.08B,100,,MGG CN Equity,112.49B,,
12/31/2003,1718.806,,12/31/2003,246.1,,12/31/2003,1.15188,,12/31/2003,1111.92,,BTE CN Equity,970.79B,739.50B,100,,GBU CN Equity,111.61B,0,
11/28/2003,1592.384,,11/28/2003,235.2,,11/28/2003,1.17188,,11/28/2003,1058.2,,1205 HK Equity,955.65B,157.81B,30.2,,NHK CN Equity,107.92B,0,
10/31/2003,1515.914,,10/31/2003,227.73,,10/31/2003,1.16938,,10/31/2003,1050.71,,601028 CH Equity,945.12B,182.84M,0.06,,KNT CN Equity,107.52B,,
09/30/2003,1504.916,,09/30/2003,228.43,,09/30/2003,1.16,,09/30/2003,995.97,,HK US Equity,934.03B,427.15B,100,,YOJ AU Equity,104.14B,114.22M,100
08/29/2003,1621.512,,08/29/2003,222.74,,08/29/2003,1.14,,08/29/2003,1008.01,,BIR CN Equity,912.51B,459.47B,99.94,,OKU AU Equity,103.97B,,
07/31/2003,1548.528,,07/31/2003,210.17,,07/31/2003,1.11438,,07/31/2003,990.31,,EC FP Equity,907.54B,955.85B,100,,WILR SP Equity,103.26B,0,
06/30/2003,1513.655,,06/30/2003,205.29,,06/30/2003,1.11625,,06/30/2003,974.5,,GENL LN Equity,898.42B,258.69B,100,,RUP CN Equity,103.12B,0,
05/30/2003,1423.119,,05/30/2003,216.55,,05/30/2003,1.28,,05/30/2003,963.59,,GLL SP Equity,869.64B,28.05B,7.02,,ARV AU Equity,103.06B,544.46M,100
04/30/2003,1268.647,,04/30/2003,201.32,,04/30/2003,1.31,,04/30/2003,916.92,,NOG LN Equity,862.20B,458.31B,100,,EGS AU Equity,102.94B,0,
03/31/2003,1447.51,,03/31/2003,199.65,,03/31/2003,1.27875,,03/31/2003,848.18,,RATIL IT Equity,853.18B,,,,621 HK Equity,101.70B,,
02/28/2003,1690.394,,02/28/2003,207.88,,02/28/2003,1.34,,02/28/2003,841.15,,WTI US Equity,831.95B,543.81B,98.79,,DRM AU Equity,101.02B,157.30B,100
01/31/2003,1499.432,,01/31/2003,218.84,,01/31/2003,1.35,,01/31/2003,855.7,,600461 CH Equity,814.60B,236.22B,44.89,,BRZL RM Equity,97.56B,108.74B,100
12/31/2002,1355.602,,12/31/2002,206.76,,12/31/2002,1.38,,12/31/2002,879.82,,SGY US Equity,807.54B,348.42B,100,,BTR CN Equity,97.24B,0,
11/29/2002,1172.603,,11/29/2002,188.51,,11/29/2002,1.425,,11/29/2002,936.31,,REN US Equity,797.16B,342.97B,100,,RZZ CN Equity,96.51B,300.15M,100
10/31/2002,1171.382,,10/31/2002,189.14,,10/31/2002,1.68625,,10/31/2002,885.76,,CAPX AR Equity,795.69B,34.76B,15.85,,BGS AU Equity,95.75B,,
09/30/2002,1289.544,,09/30/2002,192.91,,09/30/2002,1.79,,09/30/2002,815.28,,PVAC US Equity,741.85B,180.22B,100,,JAG CN Equity,95.75B,118.93B,100
08/30/2002,1232.959,,08/30/2002,185.94,,08/30/2002,1.80625,,08/30/2002,916.07,,2686 HK Equity,715.97B,90.64B,100,,MML AU Equity,95.70B,114.03B,100
07/31/2002,1134.874,,07/31/2002,180.54,,07/31/2002,1.82375,,07/31/2002,911.62,,000731 CH Equity,714.94B,10.91B,2.64,,ALO CN Equity,95.12B,118.11B,99.38
06/28/2002,1125.538,,06/28/2002,186.7,,06/28/2002,1.86,,06/28/2002,989.81,,ESTE US Equity,714.55B,121.34B,100,,HZM LN Equity,94.19B,,
05/31/2002,1076.322,,05/31/2002,194.53,,05/31/2002,1.89625,,05/31/2002,1067.14,,NFTA IT Equity,704.60B,582.28B,100,,CNMC SP Equity,94.17B,21.65B,100
04/30/2002,1145.514,,04/30/2002,183.98,,04/30/2002,1.92,,04/30/2002,1076.92,,FPM LN Equity,702.83B,148.38B,100,,PEX AU Equity,93.03B,,
02/28/2002,932.846,,02/28/2002,176.82,,02/28/2002,1.9,,02/28/2002,1106.73,,6828 HK Equity,699.56B,11.32B,11.96,,MRZ CN Equity,86.87B,0,
01/31/2002,860.857,,01/31/2002,168.15,,01/31/2002,1.88,,01/31/2002,1130.2,,OPCE IT Equity,692.18B,,,,TBP CN Equity,86.38B,0,
12/31/2001,890.232,,12/31/2001,166.01,,12/31/2001,1.88125,,12/31/2001,1148.08,,SOU LN Equity,688.08B,1.30B,100,,R CN Equity,85.59B,0,
11/30/2001,885.586,,11/30/2001,163.33,,11/30/2001,2.03188,,11/30/2001,1139.45,,332 HK Equity,668.05B,274.75B,20.66,,NM CN Equity,85.57B,0,
10/31/2001,968.165,,10/31/2001,166.74,,10/31/2001,2.2,,10/31/2001,1059.78,,ENQ LN Equity,660.32B,970.92B,99.42,,BDR AU Equity,85.21B,182.78B,100
09/28/2001,1094.702,,09/28/2001,174.41,,09/28/2001,2.59,,09/28/2001,1040.94,,CNE CN Equity,654.17B,179.59B,100,,EUR AU Equity,83.03B,0,
08/31/2001,1261.337,,08/31/2001,163.65,,08/31/2001,3.4625,,08/31/2001,1133.58,,MFGS RM Equity,644.45B,1.90T,100,,VGZ CN Equity,80.30B,0,
07/31/2001,1177.109,,07/31/2001,158.86,,07/31/2001,3.67,,07/31/2001,1211.23,,TVE CN Equity,642.49B,246.90B,111.45,,BBX AU Equity,80.27B,,
06/29/2001,1183.846,,06/29/2001,161.04,,06/29/2001,3.83625,,06/29/2001,1224.42,,PETR AR Equity,639.90B,222.86B,100,,CNG LN Equity,78.54B,,
05/31/2001,1294.151,,05/31/2001,157.98,,05/31/2001,3.99,,05/31/2001,1255.82,,ATH CN Equity,639.71B,660.22B,100,,ESM CN Equity,77.52B,0,
04/30/2001,1303.522,,04/30/2001,156.58,,04/30/2001,4.33625,,04/30/2001,1249.46,,DMLP US Equity,633.21B,68.59B,100,,ORG CN Equity,76.12B,0,
03/30/2001,1180.519,,03/30/2001,152.98,,03/30/2001,4.87875,,03/30/2001,1160.33,,BCEI US Equity,630.99B,217.13B,100,,AAZ LN Equity,73.60B,91.83B,100
02/28/2001,1209.641,,02/28/2001,158.49,,02/28/2001,5.0525,,02/28/2001,1239.94,,603689 CH Equity,629.21B,,,,PGLC US Equity,72.82B,0,
01/31/2001,1229.565,,01/31/2001,158,,01/31/2001,5.42125,,01/31/2001,1366.01,,OPHR LN Equity,624.20B,213.06B,100,,RED AU Equity,72.44B,58.89B,100
12/29/2000,1158.262,,12/29/2000,161.91,,12/29/2000,6.39875,,12/29/2000,1320.28,,ERN US Equity,623.23B,114.34B,100,,JRV AU Equity,69.50B,23.30M,100
11/30/2000,1403.384,,11/30/2000,160.96,,11/30/2000,6.715,,11/30/2000,1314.95,,AAV CN Equity,618.09B,171.92B,100,,ATC CN Equity,69.46B,0,
10/31/2000,1307.981,,10/31/2000,157.62,,10/31/2000,6.76,,10/31/2000,1429.4,,GLP US Equity,610.38B,524.65B,5.2,,OGX AU Equity,69.42B,,
09/29/2000,1253.315,,09/29/2000,162.94,,09/29/2000,6.81125,,09/29/2000,1436.51,,OBE CN Equity,609.14B,374.26B,100,,RMX CN Equity,68.71B,0,
08/31/2000,1305.107,,08/31/2000,165.19,,08/31/2000,6.68,,08/31/2000,1517.68,,300023 CH Equity,591.42B,4.88B,4.13,,ALEF CN Equity,68.63B,3.38B,100
07/31/2000,1058.899,,07/31/2000,164.96,,07/31/2000,6.72188,,07/31/2000,1430.83,,002476 CH Equity,560.53B,8.92B,5.69,,ZLD AU Equity,68.33B,0,
06/30/2000,1181.541,,06/30/2000,172.54,,06/30/2000,6.76938,,06/30/2000,1454.6,,SD US Equity,558.95B,429.79B,100,,QBL AU Equity,68.16B,,
05/31/2000,1033.924,,05/31/2000,161.88,,05/31/2000,6.8625,,05/31/2000,1420.6,,UPL US Equity,553.53B,1.01T,100,,SOSI SS Equity,67.99B,10.31M,100
04/28/2000,896.308,,04/28/2000,162.55,,04/28/2000,6.5025,,04/28/2000,1452.43,,GKP LN Equity,553.03B,225.45B,100,,TSG LN Equity,67.07B,52.42B,100
03/31/2000,907.352,,03/31/2000,165.77,,03/31/2000,6.29,,03/31/2000,1498.58,,SIA LN Equity,507.47B,179.28B,100,,SHG LN Equity,66.66B,116.80B,100
02/29/2000,953.693,,02/29/2000,174.04,,02/29/2000,6.10875,,02/29/2000,1366.42,,AXAS US Equity,505.05B,97.41B,100,,OM CN Equity,66.00B,0,
01/31/2000,844.806,,01/31/2000,168.55,,01/31/2000,6.0775,,01/31/2000,1394.46,,TTI US Equity,496.51B,608.02M,0.07,,BOE AU Equity,65.95B,0,
12/31/1999,766.802,,12/31/1999,171.03,,12/31/1999,6.00125,,12/31/1999,1469.25,,AWE AU Equity,494.38B,61.75B,100,,AGD AU Equity,65.89B,64.20B,100
11/30/1999,715.083,,11/30/1999,172.25,,11/30/1999,6.115,,11/30/1999,1388.91,,SXY AU Equity,493.94B,37.51B,100,,ATRI IN Equity,65.53B,,
10/29/1999,636.821,,10/29/1999,176.69,,10/29/1999,6.185,,10/29/1999,1362.93,,AOI CN Equity,490.99B,0,,,RPM CN Equity,64.31B,6.55B,100
09/30/1999,700.216,,09/30/1999,175.53,,09/30/1999,6.08375,,09/30/1999,1282.71,,CJ CN Equity,490.77B,234.64B,100,,DNG CN Equity,63.73B,114.93B,100
08/31/1999,632.813,,08/31/1999,150.21,,08/31/1999,5.52,,08/31/1999,1320.41,,PXP PM Equity,488.58B,2.34B,100,,TNY CN Equity,62.32B,11.00M,100
07/30/1999,579.636,,07/30/1999,150.44,,07/30/1999,5.3425,,07/30/1999,1328.72,,LGCY US Equity,480.54B,520.38B,100,,GGD CN Equity,62.01B,19.49B,100
06/30/1999,538.994,,06/30/1999,154.09,,06/30/1999,5.3675,,06/30/1999,1372.71,,EQTL IT Equity,472.18B,583.79B,70.36,,KGL AU Equity,61.96B,,
05/31/1999,466.386,,05/31/1999,158.33,,05/31/1999,5.06625,,05/31/1999,1301.84,,EPE US Equity,468.96B,1.16T,100,,LIO CN Equity,61.75B,0,
04/30/1999,514.913,,04/30/1999,167.99,,04/30/1999,4.98875,,04/30/1999,1335.18,,603 HK Equity,461.73B,45.01B,4.67,,NAG AU Equity,59.79B,522.20M,100
03/31/1999,478.119,,03/31/1999,163.96,,03/31/1999,5,,03/31/1999,1286.37,,PGF CN Equity,450.75B,383.48B,70.2,,MLN CN Equity,59.19B,24.85B,100
02/26/1999,349.952,,02/26/1999,168.03,,02/26/1999,5.02625,,02/26/1999,1238.33,,SGY CN Equity,437.16B,188.79B,100,,LEG AU Equity,58.84B,0,
01/29/1999,369.345,,01/29/1999,167.39,,01/29/1999,4.96953,,01/29/1999,1279.64,,IPCO SS Equity,434.77B,237.26B,100,,USCO CN Equity,56.67B,0,
12/31/1998,359.844,,12/31/1998,168.59,,12/31/1998,5.06563,,12/31/1998,1229.23,,YGR CN Equity,428.89B,64.65B,100,,SRB LN Equity,56.35B,54.76B,100
11/30/1998,348.06,,11/30/1998,171.37,,11/30/1998,5.28266,,11/30/1998,1163.63,,BNE CN Equity,425.21B,163.94B,100,,GQC CN Equity,54.62B,0,
10/30/1998,452.195,,10/30/1998,171.18,,10/30/1998,5.21953,,10/30/1998,1098.67,,S CN Equity,417.45B,110.54B,13.84,,KRM AU Equity,54.03B,17.58B,95.96
09/30/1998,502.558,,09/30/1998,173.68,,09/30/1998,5.3125,,09/30/1998,1017.01,,SBOW US Equity,414.15B,221.41B,100,,KCN AU Equity,53.32B,134.03B,88.55
08/31/1998,424.409,,08/31/1998,161.36,,08/31/1998,5.625,,08/31/1998,957.28,,BRMR US Equity,409.51B,129.81B,65.46,,MQR CN Equity,52.90B,0,
07/31/1998,455.01,,07/31/1998,167.36,,07/31/1998,5.6875,,07/31/1998,1120.67,,7 HK Equity,409.05B,,,,1194 HK Equity,52.41B,102.95B,89.89
06/30/1998,486.151,,06/30/1998,173.5,,06/30/1998,5.6875,,06/30/1998,1133.84,,ECR US Equity,407.58B,431.07B,100,,KER CN Equity,50.58B,0,
05/29/1998,536.516,,05/29/1998,170.99,,05/29/1998,5.6875,,05/29/1998,1090.82,,208 HK Equity,400.35B,11.56B,36.62,,COP CN Equity,49.37B,0,
04/30/1998,572.265,,04/30/1998,178.96,,04/30/1998,5.71875,,04/30/1998,1111.75,,DGOC LN Equity,398.37B,21.20B,100,,MWX CN Equity,49.13B,,
03/31/1998,581.146,,03/31/1998,175.55,,,,,03/31/1998,1101.75,,HIBI MK Equity,390.84B,1.18B,1.71,,TON AU Equity,48.90B,,
02/27/1998,588.728,,02/27/1998,173.94,,,,,02/27/1998,1049.34,,MPO US Equity,390.42B,258.52B,100,,RBX CN Equity,48.76B,0,
01/30/1998,657.905,,01/30/1998,175.85,,,,,01/30/1998,980.28,,FTMR US Equity,379.05B,0,,,GMN AU Equity,48.72B,28.25M,
12/31/1997,677.003,,12/31/1997,167.52,,,,,12/31/1997,970.43,,FAR AU Equity,372.79B,,,,CAI AU Equity,48.67B,,
11/28/1997,737.602,,11/28/1997,171.73,,,,,11/28/1997,955.4,,PHX US Equity,368.07B,52.97B,100,,VAST LN Equity,47.50B,27.29B,100
10/31/1997,803.812,,10/31/1997,179.53,,,,,10/31/1997,914.62,,PXX CN Equity,367.85B,109.74B,100,,NUG CN Equity,46.97B,0,
09/30/1997,806.862,,09/30/1997,192.97,,,,,09/30/1997,947.28,,SQTX US Equity,362.81B,0,,,CMM AU Equity,46.75B,,
08/29/1997,757.423,,08/29/1997,186.69,,,,,08/29/1997,899.47,,FRHC US Equity,358.08B,0,,,ORN AU Equity,46.68B,0,
07/31/1997,772.186,,07/31/1997,186.6,,,,,07/31/1997,954.29,,IPEKE TI Equity,355.63B,363.04B,87.55,,ER CN Equity,46.10B,0,
06/30/1997,740.462,,06/30/1997,191.68,,,,,06/30/1997,885.14,,TETY SS Equity,347.46B,101.01B,100,,DGR AU Equity,45.89B,,
05/30/1997,787.608,,05/30/1997,197.81,,,,,05/30/1997,848.28,,LMC CN Equity,344.19B,218.90B,100,,GRG CN Equity,45.64B,0,
04/30/1997,764.007,,04/30/1997,194.92,,,,,04/30/1997,801.34,,AMER LN Equity,332.23B,104.57B,100,,MJS CN Equity,45.36B,33.70B,100
03/31/1997,764.82,,03/31/1997,201.36,,,,,03/31/1997,757.12,,NOR NO Equity,325.17B,1.52B,100,,GCM CN Equity,44.93B,243.39B,100
02/28/1997,756.132,,02/28/1997,208.06,,,,,02/28/1997,790.82,,BNP CN Equity,314.70B,467.29B,100,,CGT CN Equity,44.75B,,
01/31/1997,879.847,,01/31/1997,196.41,,,,,01/31/1997,786.16,,QEC CN Equity,311.27B,17.64B,100,,ATM CN Equity,44.20B,,
,,,,,,,,,,,,FO CN Equity,309.18B,7.91M,100,,EGM CN Equity,44.10B,0,
,,,,,,,,,,,,ISRL US Equity,308.06B,54.02B,72.35,,FML AU Equity,43.58B,2.60M,
,,,,,,,,,,,,CR CN Equity,307.85B,174.08B,100,,TMI CN Equity,43.32B,,
,,,,,,,,,,,,EPM US Equity,298.68B,39.32B,100,,P CN Equity,43.05B,84.74B,81.7
,,,,,,,,,,,,ELA LN Equity,294.83B,77.88B,100,,TTM AU Equity,43.04B,,
,,,,,,,,,,,,SN US Equity,288.03B,836.68B,100,,8299 HK Equity,42.95B,19.48B,100
,,,,,,,,,,,,AREX US Equity,272.01B,114.13B,100,,GPY CN Equity,42.93B,0,
,,,,,,,,,,,,ATS AU Equity,268.31B,26.39B,100,,TXR CN Equity,42.21B,0,
,,,,,,,,,,,,ZN US Equity,263.02B,0,,,BSR AU Equity,42.16B,3.46M,100
,,,,,,,,,,,,CASP LN Equity,260.02B,1.82B,100,,TRY AU Equity,41.57B,78.87B,100
,,,,,,,,,,,,SRX CN Equity,255.71B,101.25B,102.07,,VXR AU Equity,41.43B,668.17M,100
,,,,,,,,,,,,BBI CN Equity,239.52B,5.02B,100,,RIO CN Equity,40.18B,,
,,,,,,,,,,,,NOG US Equity,228.41B,236.56B,100,,TAM AU Equity,39.62B,143.53M,100
,,,,,,,,,,,,166 HK Equity,215.64B,,,,PUF CN Equity,39.61B,121.51M,100
,,,,,,,,,,,,8103 JP Equity,215.36B,385.12B,26.97,,NSHS CN Equity,39.61B,0,
,,,,,,,,,,,,CONA CN Equity,214.18B,290.37B,100,,OOO CN Equity,39.49B,0,
,,,,,,,,,,,,EGC US Equity,213.69B,578.23B,100,,SVY AU Equity,39.33B,0,
,,,,,,,,,,,,AE US Equity,208.19B,1.61B,0.11,,MTO CN Equity,39.22B,48.37B,100
,,,,,,,,,,,,SNMP US Equity,196.51B,99.62B,100,,IRC AU Equity,39.20B,,
,,,,,,,,,,,,ENRG IJ Equity,195.78B,705.89B,100,,RML CN Equity,38.96B,0,
,,,,,,,,,,,,ALGS IT Equity,193.81B,73.49B,100,,XR CN Equity,38.29B,0,
,,,,,,,,,,,,DNEX MK Equity,190.88B,8.09B,16.2,,SMG AU Equity,37.73B,0,
,,,,,,,,,,,,850 HK Equity,188.72B,0,0,,BRB AU Equity,37.59B,0,
,,,,,,,,,,,,SDX LN Equity,186.15B,44.26B,100,,AVQ AU Equity,37.43B,33.28M,
,,,,,,,,,,,,2012 HK Equity,179.64B,,,,SSP CN Equity,36.84B,0,
,,,,,,,,,,,,RKH LN Equity,175.48B,8.60B,100,,AOP AU Equity,36.50B,,
,,,,,,,,,,,,GST US Equity,174.96B,81.52B,100,,ORR AU Equity,36.48B,0,
,,,,,,,,,,,,663 HK Equity,172.43B,1.13B,42.95,,ENDO SS Equity,35.70B,,
,,,,,,,,,,,,EXI LN Equity,172.06B,147.24B,100,,CHN AU Equity,34.37B,,
,,,,,,,,,,,,ORC/B CN Equity,161.51B,58.60B,100,,UPM PM Equity,34.33B,0,
,,,,,,,,,,,,VJGZ RM Equity,159.85B,683.48B,100,,SKE CN Equity,34.31B,,
,,,,,,,,,,,,SAS AU Equity,158.92B,0,,,ANX CN Equity,33.87B,22.19B,100
,,,,,,,,,,,,BLVN LN Equity,158.32B,,,,TSG CN Equity,33.32B,0,
,,,,,,,,,,,,CDEV IT Equity,157.14B,,,,PDO CN Equity,33.15B,110.18M,100
,,,,,,,,,,,,SNM CN Equity,154.39B,19.99B,100,,GRR CN Equity,33.14B,0,
,,,,,,,,,,,,GSP IM Equity,150.36B,38.51B,31.43,,1195 HK Equity,32.32B,0,0
,,,,,,,,,,,,COI AU Equity,150.25B,,,,RGD CN Equity,32.30B,0,
,,,,,,,,,,,,AEX LN Equity,148.02B,5.72B,100,,CGLD CN Equity,32.08B,4.47B,100
,,,,,,,,,,,,PNRG US Equity,146.16B,75.59B,80.98,,WLF CN Equity,31.93B,0,
,,,,,,,,,,,,GEEC LN Equity,143.39B,,,,KIN AU Equity,31.90B,0,
,,,,,,,,,,,,LEK LN Equity,140.27B,0,,,GIII CN Equity,31.64B,0,
,,,,,,,,,,,,SEA AU Equity,139.60B,110.62B,93.75,,ODM AU Equity,31.60B,0,
,,,,,,,,,,,,DEE CN Equity,138.95B,82.08B,99.66,,BCN AU Equity,31.47B,6.42B,100
,,,,,,,,,,,,702 HK Equity,138.82B,8.59B,17.23,,AWV AU Equity,31.42B,0,
,,,,,,,,,,,,KRIS SP Equity,135.95B,159.01B,100,,MBM AU Equity,31.41B,0,
,,,,,,,,,,,,YAKG RM Equity,135.74B,78.15B,100,,NGZ CN Equity,31.38B,0,
,,,,,,,,,,,,G3E LN Equity,132.68B,26.26B,100,,ERM AU Equity,31.02B,0,
,,,,,,,,,,,,LONE US Equity,129.67B,109.82B,100,,SGQ AU Equity,30.95B,0,
,,,,,,,,,,,,BUL AU Equity,128.22B,0,,,AUR SS Equity,30.93B,50.34B,100
,,,,,,,,,,,,TGL CN Equity,123.94B,167.79B,100,,FAT CN Equity,30.68B,0,
,,,,,,,,,,,,EPS CN Equity,119.50B,21.84B,71.74,,PE CN Equity,30.50B,0,
,,,,,,,,,,,,BRU AU Equity,117.24B,6.84B,100,,PGO AU Equity,30.30B,,
,,,,,,,,,,,,GNE US Equity,114.63B,0,0,,AZX CN Equity,30.21B,0,
,,,,,,,,,,,,RPT LN Equity,108.07B,29.76B,100,,CAY AU Equity,29.83B,,
,,,,,,,,,,,,MVN CN Equity,105.29B,36.00B,100,,4CE AU Equity,29.70B,,
,,,,,,,,,,,,PRP ID Equity,103.20B,,,,KTN CN Equity,29.52B,0,
,,,,,,,,,,,,JCO CN Equity,102.39B,340.69M,100,,ME CN Equity,29.17B,0,
,,,,,,,,,,,,MCF US Equity,100.20B,88.77B,100,,DHR AU Equity,28.92B,8.03B,100
,,,,,,,,,,,,ROYE US Equity,99.58B,247.21B,100,,GSR CN Equity,28.83B,,
,,,,,,,,,,,,ELK AU Equity,99.46B,4.25B,100,,EGA AU Equity,28.69B,0,
,,,,,,,,,,,,TRIN LN Equity,98.79B,40.94B,100,,SOI CN Equity,28.63B,0,
,,,,,,,,,,,,8011 HK Equity,97.14B,,,,EOX CN Equity,28.43B,0,
,,,,,,,,,,,,SLG CN Equity,95.02B,,,,SIH AU Equity,27.45B,453.79k,
,,,,,,,,,,,,IPO CN Equity,93.11B,48.72B,100,,NTL NZ Equity,26.77B,0,
,,,,,,,,,,,,VOC US Equity,91.66B,,,,GGP LN Equity,26.65B,0,
,,,,,,,,,,,,TRCH US Equity,90.89B,644.74M,100,,XIA CN Equity,26.64B,,
,,,,,,,,,,,,ECHO LN Equity,90.13B,,,,ORV CN Equity,26.44B,157.76B,100
,,,,,,,,,,,,MAHAA SS Equity,88.46B,,,,NPK CN Equity,26.22B,0,
,,,,,,,,,,,,CRK US Equity,87.51B,288.56B,100,,KAI AU Equity,26.15B,0,
,,,,,,,,,,,,CTP AU Equity,87.22B,21.31B,100,,BTLN US Equity,26.05B,,
,,,,,,,,,,,,VYEY US Equity,87.12B,0,,,AKKU IJ Equity,25.81B,,
,,,,,,,,,,,,TNP CN Equity,85.21B,64.01B,100,,MAT AU Equity,25.46B,0,
,,,,,,,,,,,,SLL CN Equity,84.87B,0,,,SNS CN Equity,25.22B,13.18B,100
,,,,,,,,,,,,CRBO US Equity,82.77B,22.96B,100,,USAU US Equity,25.21B,,
,,,,,,,,,,,,PANR LN Equity,82.14B,0,,,766 HK Equity,24.89B,30.04M,0.74
,,,,,,,,,,,,GXO CN Equity,80.84B,34.03B,100,,TAR AU Equity,24.55B,,
,,,,,,,,,,,,WRL NO Equity,77.90B,15.19B,100,,ARE AU Equity,24.18B,,
